X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1327,-394,-476,-193.2,-81.2,-210.3,9,-616,24,1
-385,-795,-709,85.6,10.9,-73.9,51,-618,27,1
106,1200,-23,251.3,54.0,96.4,15,-558,-49,1
-346,172,-253,-50.8,140.5,192.8,-41,-551,-47,1
-599,166,-51,21.8,165.4,274.1,-129,-525,-33,1
-1773,300,-9,-105.8,202.2,317.5,-233,-481,14,1
-1998,-990,-144,-127.9,165.3,323.1,-320,-409,83,1
-1998,-1926,234,-145.6,123.2,215.2,-368,-335,158,1
-1679,-1830,707,53.0,-3.7,-64.1,-385,-322,173,1
-1989,1864,897,177.4,-95.7,-125.0,-362,-366,154,1
-398,-1723,-366,-178.6,-42.9,-176.7,-329,-442,153,1
-1253,57,216,180.6,-45.6,-83.3,-298,-489,97,1
-940,-127,-4,-71.9,-4.7,-56.4,-281,-504,111,1
-930,-100,-176,72.5,-9.0,-11.7,-276,-503,96,1
-1003,6,-8,14.1,-7.5,-19.1,-267,-503,93,1
-973,-160,-84,34.7,-8.6,-25.5,-263,-505,87,1
-1093,45,-77,17.0,-21.0,-47.9,-257,-516,66,1
-1207,-104,-193,10.3,-39.5,-64.9,-238,-525,63,1
-1467,129,-151,8.7,-71.6,-100.8,-199,-548,57,1
-1789,288,-227,3.5,-111.3,-158.4,-152,-574,38,1
-1998,647,-811,135.9,-106.1,-192.4,-73,-575,6,1
-1567,-280,-582,-178.9,-100.8,-211.1,4,-601,6,1
-355,-653,-641,58.5,-4.2,-82.4,67,-611,13,1
88,1129,-6,200.4,49.4,103.3,34,-571,-46,1
-360,115,-340,-82.5,129.7,182.0,-43,-572,-21,1
-678,87,-153,0.4,148.0,270.3,-136,-553,-9,1
-1593,228,-60,-77.0,189.9,316.8,-238,-492,45,1
-1998,-814,-224,-120.8,183.7,303.5,-323,-421,114,1
-1998,-1869,140,-85.3,129.2,211.2,-374,-353,168,1
-1715,-1603,1041,23.5,2.0,-70.9,-379,-325,197,1
-1998,1852,779,69.5,-90.8,-109.7,-362,-376,172,1
-655,-1623,-1099,-234.3,-30.8,-216.5,-337,-456,180,1
-1232,-451,42,149.5,-60.9,-112.2,-305,-492,174,1
-921,482,248,4.2,-10.6,-65.7,-280,-518,142,1
-1023,-743,-389,12.6,-0.2,-16.5,-269,-529,147,1
-1027,415,75,24.5,-4.4,-18.5,-271,-525,131,1
-995,-300,-120,21.6,-4.3,-28.2,-266,-541,125,1
-1080,77,-136,19.6,-18.2,-50.7,-253,-550,124,1
-1159,-127,-105,25.7,-36.3,-71.9,-232,-563,110,1
-1430,65,-113,9.0,-64.1,-104.0,-189,-576,91,1
-1643,151,-281,0.7,-97.1,-146.7,-141,-602,71,1
-1998,595,-779,130.4,-112.4,-178.7,-73,-606,35,1
-1867,393,-49,-157.0,-92.4,-216.3,5,-621,18,1
-480,-1045,-264,77.7,5.6,-94.8,63,-628,26,1
64,1167,-111,268.7,65.1,84.2,44,-581,-40,1
-286,215,-220,-45.7,157.0,151.6,-32,-574,-37,1
-631,300,85,25.1,171.7,242.6,-123,-552,-19,1
-1333,323,57,-81.2,200.7,295.8,-228,-507,28,1
-1998,-516,-142,-80.2,187.3,326.8,-318,-435,97,1
-1998,-1348,583,-105.4,137.3,238.4,-374,-342,155,1
-1693,-1998,666,-7.9,11.3,-39.2,-375,-326,182,1
-1198,296,-748,90.1,-89.1,-103.8,-370,-358,182,1
-901,-1231,-804,-288.6,-31.4,-227.2,-336,-441,166,1
-1235,-669,-176,154.7,-47.1,-104.8,-308,-487,158,1
-951,697,256,38.7,-10.7,-58.3,-284,-492,113,1
-1030,-750,-373,-12.1,0.0,-29.4,-277,-514,118,1
-1004,279,11,64.2,-6.8,-14.2,-284,-506,114,1
-1000,-302,-107,5.1,-6.4,-30.8,-272,-513,114,1
-996,66,-123,10.8,-17.5,-53.6,-265,-520,103,1
-1162,-163,-137,30.3,-38.7,-66.9,-242,-534,97,1
-1453,-5,-217,6.5,-70.4,-105.2,-201,-565,79,1
-1729,331,-203,7.7,-100.1,-150.7,-155,-590,60,1
-1998,558,-841,116.6,-117.1,-186.8,-82,-593,17,1
-1810,444,-95,-81.7,-107.4,-208.3,-5,-611,17,1
-474,-1096,-276,7.7,-28.8,-118.5,63,-626,25,1
-63,918,-374,301.7,42.2,76.4,34,-573,-47,1
-72,530,-190,-46.8,151.7,159.8,-27,-555,-41,1
-567,61,0,14.2,167.7,252.9,-123,-548,-16,1
-1362,355,86,-72.5,203.9,306.3,-229,-498,22,1
-1998,-634,-143,-96.6,183.6,327.7,-314,-425,90,1
-1998,-1080,606,-143.6,129.2,237.8,-366,-349,159,1
-1636,-1998,400,-55.9,39.5,9.2,-372,-324,187,1
-1742,1058,-399,33.1,-95.1,-136.7,-352,-362,158,1
-934,-1056,-818,-268.9,-32.6,-179.6,-333,-445,158,1
-1243,-615,-157,191.6,-46.2,-102.2,-305,-480,141,1
-938,2,14,-61.6,-5.2,-65.7,-286,-493,119,1
-972,-379,-264,56.7,-6.3,-17.2,-270,-507,118,1
-1008,119,58,22.3,-3.2,-17.3,-280,-512,123,1
-1004,-249,-85,27.0,-1.6,-24.6,-268,-514,108,1
-1016,91,-147,26.8,-12.6,-43.5,-257,-521,104,1
-1182,-139,-144,18.8,-31.7,-64.7,-244,-533,97,1
-1447,92,-176,4.2,-67.0,-109.6,-217,-553,76,1
-1737,234,-192,-7.4,-101.1,-153.1,-167,-575,58,1
