X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1453,1964,-788,131.7,-39.9,-77.2,-336,-443,151,2
-55,97,-427,-179.8,89.3,142.1,-351,-432,188,2
-313,-224,-507,-30.3,180.4,365.8,-391,-334,241,2
-1651,520,-186,0.4,268.1,486.9,-371,-186,331,2
-1998,-1351,1036,-187.6,219.2,383.6,-283,-25,404,2
-937,-1998,1199,-215.8,16.9,57.1,-211,50,385,2
-1342,-1998,-1997,-127.1,21.3,-223.2,-238,48,344,2
1248,1997,1220,354.9,-97.0,-302.5,-327,-84,369,2
-536,-1303,-31,45.5,-45.9,-175.9,-375,-149,340,2
-1582,-517,149,0.1,-48.5,-69.0,-380,-183,326,2
-1998,402,-68,-25.3,-42.3,-83.3,-387,-207,309,2
-1973,1198,-541,122.7,-38.5,-121.3,-387,-252,296,2
-1905,88,-573,-98.9,-85.8,-268.6,-385,-330,265,2
-1549,463,-1094,264.9,-54.3,-225.9,-359,-419,229,2
-1822,1958,-592,122.0,-32.4,-60.4,-341,-450,171,2
153,76,-266,-208.1,67.0,160.3,-353,-425,213,2
-270,-594,-537,-42.2,137.9,367.3,-387,-326,260,2
-1265,400,-263,111.5,233.0,471.6,-376,-167,342,2
-1998,-1542,1105,-233.7,222.3,352.1,-290,-25,400,2
-1440,-1998,1592,-70.8,12.8,45.7,-226,32,404,2
-974,-1905,-579,-48.6,-12.5,-151.6,-259,29,382,2
1523,1061,-147,386.8,-73.0,-226.4,-333,-52,364,2
-640,-1186,-286,52.6,-58.2,-203.9,-358,-133,347,2
-1496,-637,109,1.0,-48.7,-81.2,-374,-182,343,2
-1998,434,-24,-33.4,-48.5,-79.5,-384,-206,327,2
-1979,963,-721,134.7,-35.7,-118.9,-395,-251,308,2
-1997,516,-290,-109.3,-103.4,-264.7,-386,-315,290,2
-1572,28,-1083,169.7,-49.3,-244.4,-367,-414,255,2
-1692,1694,-670,121.7,-27.3,-63.4,-331,-468,208,2
249,123,-170,-151.6,78.7,152.3,-352,-455,233,2
-396,-539,-459,5.5,161.7,362.6,-383,-355,293,2
-1403,786,193,114.6,256.8,450.8,-383,-222,353,2
-1998,-1518,1049,-263.4,233.5,380.5,-298,-82,429,2
-1316,-1998,1348,-12.8,27.0,123.2,-233,25,420,2
-1674,-1998,-1439,-293.0,1.0,-367.2,-277,22,378,2
1213,1997,303,160.0,-108.7,-252.3,-334,-131,401,2
-964,-997,-328,104.7,-45.7,-145.1,-371,-192,375,2
-1972,-479,308,-20.3,-63.2,-63.4,-378,-221,372,2
-1986,222,-238,-21.3,-39.9,-77.7,-386,-242,347,2
-1946,1276,-334,149.4,-39.8,-103.1,-383,-286,338,2
-1798,232,-194,-162.2,-100.2,-245.0,-373,-352,303,2
-1681,-21,-1210,102.1,-56.7,-249.9,-350,-437,281,2
-1043,1519,-484,55.8,-20.3,-55.0,-330,-480,227,2
-62,-176,-427,-106.1,100.2,163.3,-342,-456,249,2
-328,-145,-376,64.7,183.3,353.2,-374,-367,310,2
