X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-950,-178,-242,1.1,-1.6,0.4,-320,-300,72,0
-950,-179,-242,0.9,-1.6,0.3,-321,-309,88,0
-950,-179,-243,1.1,-1.7,0.4,-322,-299,90,0
-951,-179,-242,1.0,-1.6,0.4,-315,-298,91,0
-950,-180,-242,1.0,-1.6,0.4,-319,-301,85,0
-950,-177,-243,1.0,-1.6,0.4,-325,-301,90,0
-950,-179,-244,1.1,-1.7,0.4,-327,-299,77,0
-951,-178,-242,1.1,-1.7,0.2,-322,-303,84,0
-950,-181,-242,0.9,-1.7,0.4,-317,-306,91,0
-951,-177,-241,1.3,-1.6,0.5,-318,-306,88,0
-950,-181,-243,1.0,-1.5,0.4,-325,-304,93,0
-950,-179,-243,1.1,-1.4,0.7,-315,-295,98,0
-951,-177,-244,1.0,-1.6,0.4,-323,-305,83,0
-951,-179,-244,1.1,-2.0,0.2,-320,-295,91,0
-950,-180,-243,1.1,-2.1,0.2,-321,-303,87,0
-950,-181,-242,0.9,-2.2,0.4,-330,-307,91,0
-950,-178,-241,1.3,-1.9,0.5,-319,-297,80,0
-949,-180,-240,1.0,-1.6,0.5,-319,-295,93,0
-950,-177,-242,1.2,-1.3,0.4,-327,-297,82,0
-951,-178,-245,1.2,-1.5,0.0,-318,-301,87,0
-950,-181,-243,0.9,-1.8,0.2,-325,-300,90,0
-950,-180,-242,0.8,-2.1,0.5,-324,-299,83,0
-951,-179,-243,0.7,-2.2,0.8,-320,-303,88,0
-950,-179,-242,0.7,-2.2,0.7,-320,-295,87,0
-951,-178,-241,0.7,-2.1,0.8,-317,-293,91,0
-951,-178,-241,0.7,-2.1,0.7,-319,-300,83,0
-950,-181,-244,0.6,-2.3,0.9,-317,-297,88,0
-951,-177,-241,0.9,-2.4,1.1,-321,-292,88,0
-951,-178,-241,1.1,-2.4,1.1,-325,-296,90,0
-950,-174,-237,1.3,-2.0,1.0,-316,-303,90,0
-951,-172,-237,1.3,-1.6,0.7,-322,-301,86,0
-952,-176,-240,0.9,-1.1,0.6,-327,-299,90,0
-951,-176,-240,0.8,-1.1,0.9,-327,-300,79,0
-952,-174,-242,1.1,-1.1,1.1,-326,-296,86,0
-952,-175,-243,0.5,-1.4,1.1,-316,-305,74,0
-952,-173,-242,0.3,-1.8,1.1,-320,-296,74,0
-952,-175,-244,0.7,-2.0,1.2,-317,-298,77,0
-951,-175,-240,0.2,-2.0,1.4,-315,-296,88,0
-951,-169,-240,1.1,-1.8,1.4,-323,-294,80,0
-953,-171,-242,0.0,-1.7,1.3,-321,-293,87,0
-953,-169,-243,0.7,-1.7,1.2,-315,-296,79,0
-952,-168,-242,0.1,-1.6,1.2,-325,-293,81,0
-950,-167,-242,0.3,-1.8,1.4,-315,-294,79,0
-952,-169,-242,0.2,-1.7,1.6,-320,-286,87,0
-951,-167,-241,0.1,-1.6,1.9,-319,-292,93,0
-952,-162,-241,0.2,-1.4,2.1,-317,-292,89,0
-953,-163,-241,0.0,-1.4,2.1,-326,-291,93,0
-955,-161,-246,0.3,-1.5,2.2,-316,-292,89,0
-954,-156,-244,0.0,-1.6,2.1,-321,-295,88,0
-953,-158,-245,0.0,-1.8,2.3,-313,-295,94,0
-956,-158,-242,-0.4,-1.8,2.8,-321,-296,82,0
-954,-155,-246,-0.5,-1.8,3.5,-315,-299,87,0
-951,-152,-244,-0.4,-1.9,3.9,-315,-298,84,0
-956,-143,-244,0.0,-2.1,4.0,-320,-293,80,0
-955,-141,-244,-1.3,-2.2,4.1,-322,-291,84,0
-962,-142,-247,-1.4,-2.1,4.2,-329,-290,83,0
-951,-138,-241,-1.4,-2.5,4.9,-319,-289,76,0
-966,-129,-244,-0.2,-2.3,5.2,-324,-296,84,0
-952,-128,-241,-1.1,-2.2,5.3,-315,-284,96,0
-964,-123,-241,-0.1,-2.0,5.8,-317,-289,72,0
-951,-121,-242,-1.8,-1.9,6.3,-324,-293,89,0
-965,-111,-245,0.4,-1.8,6.0,-322,-283,79,0
-959,-105,-242,0.0,-1.9,5.3,-321,-284,73,0
-963,-99,-244,0.7,-1.8,4.4,-318,-282,79,0
-954,-97,-239,0.0,-2.0,3.2,-319,-277,74,0
-965,-94,-241,1.4,-1.7,2.3,-315,-278,85,0
-954,-97,-242,0.7,-1.1,1.1,-327,-287,86,0
-969,-93,-241,1.1,-1.1,0.9,-334,-284,73,0
-961,-101,-246,0.0,-0.9,0.7,-316,-282,80,0
-954,-98,-243,1.4,-1.1,1.4,-330,-290,69,0
-963,-95,-245,1.6,-0.9,1.4,-322,-282,78,0
-965,-92,-247,1.6,-0.8,1.1,-319,-275,78,0
-952,-99,-248,2.7,-1.4,1.1,-327,-280,89,0
-968,-87,-246,0.5,-1.1,1.1,-319,-279,89,0
-954,-95,-248,0.4,-1.1,0.5,-320,-285,84,0
-963,-88,-248,2.3,-1.3,0.2,-323,-286,82,0
-958,-98,-246,0.8,-1.1,0.2,-324,-275,88,0
-960,-89,-251,2.3,-1.2,0.0,-320,-280,81,0
-958,-99,-246,0.9,-1.4,0.0,-320,-279,88,0
-958,-93,-252,1.6,-1.6,0.0,-329,-283,87,0
-962,-94,-249,2.1,-1.6,-0.2,-326,-277,79,0
-956,-97,-251,0.9,-2.2,-0.4,-325,-275,87,0
-971,-98,-253,3.8,-2.7,-0.7,-325,-277,75,0
-957,-99,-250,1.5,-2.8,-1.7,-319,-275,83,0
-967,-102,-249,4.4,-3.0,-2.5,-323,-277,75,0
-955,-90,-239,3.9,-3.1,-4.4,-310,-282,78,0
-961,-122,-241,3.3,-2.1,-5.1,-323,-287,88,0
-960,-109,-244,4.6,-1.8,-5.2,-327,-288,89,0
-961,-120,-244,4.5,-1.6,-5.3,-325,-284,85,0
-955,-132,-251,-0.2,-2.5,-4.6,-323,-288,78,0
-967,-141,-256,4.3,-4.8,-2.5,-318,-293,78,0
-960,-132,-239,2.2,-6.2,-2.3,-314,-289,81,0
-963,-133,-241,-0.7,-7.2,-1.8,-310,-291,73,0
-958,-147,-231,-0.3,-7.8,-0.7,-327,-291,64,0
-962,-131,-215,2.0,-7.7,0.4,-320,-289,69,0
-962,-136,-209,1.1,-5.9,0.0,-319,-286,69,0
-959,-129,-197,3.0,-2.9,-0.9,-311,-287,75,0
-959,-126,-199,0.8,2.0,-3.0,-319,-284,69,0
