X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-337,-1374,463,107.0,20.4,93.5,-226,-48,73,3
-800,71,341,99.1,33.7,80.3,-211,-49,103,3
-1174,-1058,16,-92.2,33.1,25.5,-198,-44,114,3
-1829,-1195,-301,96.3,-2.3,0.8,-193,-43,156,3
-1998,202,-83,115.2,-28.0,-39.4,-197,-74,167,3
-1811,233,-270,-17.7,-31.1,-78.8,-202,-109,147,3
-1866,-635,-342,-155.1,-43.5,-160.5,-225,-132,112,3
-1758,-224,-374,57.7,-51.2,-117.7,-233,-149,104,3
-1883,98,229,40.6,-61.0,-99.4,-240,-170,60,3
-1158,-550,-77,-37.8,-43.6,-97.5,-259,-182,34,3
-1118,-336,32,28.4,-30.0,-45.9,-286,-190,29,3
-796,-203,135,-6.0,-6.6,2.1,-297,-192,32,3
-71,-145,-151,-3.9,21.1,69.7,-315,-162,50,3
99,283,-2,26.1,38.2,131.3,-307,-124,57,3
468,583,418,15.9,19.3,170.9,-281,-99,63,3
-143,-442,-40,-218.6,70.0,71.0,-264,-95,64,3
-235,-1311,236,56.0,26.6,107.5,-229,-55,79,3
-492,-451,227,90.3,18.2,91.2,-208,-44,98,3
-1383,-772,37,-8.0,18.1,42.4,-198,-38,113,3
-1733,-892,-65,53.2,1.4,4.7,-189,-49,148,3
-1929,-122,-5,51.3,-26.1,-38.6,-191,-70,157,3
-1822,-72,-256,0.6,-31.9,-76.7,-206,-104,139,3
-1671,-390,-342,-83.5,-58.8,-150.9,-220,-127,121,3
-1702,57,-202,12.7,-53.9,-133.2,-226,-150,93,3
-1979,-239,62,-37.5,-47.9,-140.7,-241,-181,63,3
-1337,-472,-141,-0.2,-23.4,-104.3,-261,-189,38,3
-1116,-338,31,32.2,-22.2,-50.4,-287,-193,40,3
-812,-190,48,13.1,0.8,13.5,-305,-194,33,3
-114,-281,-32,-21.6,23.0,68.4,-313,-172,56,3
159,274,14,24.3,33.9,131.3,-313,-140,52,3
410,460,429,-49.7,29.6,143.2,-286,-101,54,3
-45,-43,-136,-73.8,35.4,132.5,-265,-112,47,3
-150,-1496,56,-36.0,27.4,113.0,-233,-57,74,3
-611,-618,261,65.2,24.6,76.9,-208,-44,84,3
-1305,-862,63,-0.4,30.6,29.1,-193,-33,123,3
-1740,-696,34,77.8,9.0,6.5,-189,-45,159,3
-1998,-194,4,54.1,-16.1,-38.5,-196,-68,155,3
-1759,91,-267,5.4,-34.5,-74.9,-214,-98,128,3
-1998,-476,-201,-124.6,-38.0,-156.9,-226,-128,104,3
-1947,-209,-271,39.4,-49.2,-131.9,-223,-152,92,3
-1937,288,314,43.8,-65.3,-107.1,-237,-178,54,3
-1098,-642,-362,-97.5,-30.3,-123.6,-253,-195,30,3
-1309,-431,87,70.7,-30.0,-49.0,-269,-189,13,3
-833,-187,191,29.1,-6.0,1.3,-295,-195,30,3
-129,-245,-93,-13.7,21.6,53.7,-309,-174,42,3
-22,84,-77,4.4,51.1,116.2,-310,-137,61,3
292,211,-9,1.6,45.3,135.1,-286,-91,71,3
355,275,187,16.1,23.9,145.6,-280,-94,67,3
-257,-1063,-209,-91.5,48.2,106.8,-239,-59,72,3
-595,-806,249,65.3,15.7,98.9,-201,-27,104,3
-1172,-457,416,-48.0,35.8,31.3,-186,-28,120,3
-1596,-1035,41,-24.1,22.3,13.0,-182,-33,142,3
-1929,-294,76,142.3,-12.8,-5.1,-179,-44,163,3
-1699,216,-25,2.5,-33.1,-61.9,-194,-80,148,3
-1988,74,220,-65.1,-27.3,-98.9,-207,-114,118,3
-1397,-573,-564,-41.7,-58.6,-136.2,-216,-134,101,3
-1575,144,-17,64.8,-71.2,-111.7,-222,-154,70,3
-1208,-136,-77,-15.6,-66.4,-98.7,-235,-183,46,3
-1270,-255,169,-38.1,-33.2,-85.7,-260,-202,20,3
-1012,-486,86,3.4,-8.7,-35.4,-273,-202,17,3
-561,-341,39,26.2,9.4,21.0,-291,-187,28,3
63,-3,-32,44.3,34.7,90.3,-303,-144,55,3
165,296,165,9.1,47.1,132.1,-288,-103,57,3
573,620,259,54.7,14.7,183.1,-272,-111,29,3
110,-945,-989,-265.1,83.9,64.6,-246,-69,54,3
-862,-1083,542,95.3,30.1,72.1,-210,-33,87,3
-816,-198,400,-4.5,39.4,49.7,-200,-41,108,3
-1235,-1068,17,-44.5,27.3,22.8,-181,-54,120,3
-1782,-659,-122,120.5,-9.6,1.8,-184,-51,141,3
-1921,160,-20,35.7,-34.1,-42.9,-194,-73,143,3
-1740,5,-280,-63.1,-26.6,-90.4,-211,-112,130,3
-1428,-649,-447,-50.6,-63.5,-150.0,-219,-121,115,3
-1722,298,-140,65.1,-59.7,-116.7,-225,-158,82,3
-1443,-289,-116,-86.5,-45.1,-136.5,-247,-188,48,3
-1434,-605,-31,21.9,-26.9,-86.5,-262,-189,40,3
-998,-225,14,55.4,-14.4,-36.4,-292,-189,32,3
-628,-161,5,9.4,19.1,17.9,-305,-181,38,3
-161,5,-7,-5.1,44.5,94.4,-313,-152,68,3
144,60,10,-33.6,56.5,138.2,-309,-123,69,3
448,111,142,-37.7,44.8,124.5,-286,-82,73,3
639,335,234,38.5,4.8,155.5,-263,-103,58,3
-1309,-1458,-734,-230.6,55.0,37.3,-234,-55,82,3
-695,-959,323,176.7,14.6,57.4,-208,-30,101,3
-897,-336,317,-6.3,-1.1,32.0,-188,-39,109,3
