X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-998,-57,-20,1.4,-2.1,0.2,-294,-300,-28,1
-998,-51,-16,2.1,-1.2,1.5,-295,-302,-17,1
-995,-57,-14,2.5,-1.4,1.4,-298,-293,-12,1
-998,-59,-20,2.2,-1.6,1.6,-298,-298,-5,1
-1000,-60,-19,0.9,-2.0,0.7,-290,-301,-15,1
-1001,-51,-21,0.0,-2.0,0.2,-299,-310,-16,1
-1000,-55,-16,1.0,-1.5,0.7,-293,-305,-16,1
-998,-48,-16,1.0,-1.6,0.7,-298,-297,-21,1
-999,-55,-22,1.0,-1.6,0.6,-295,-313,-25,1
-1000,-54,-22,1.1,-1.8,0.4,-299,-308,-13,1
-998,-54,-16,1.2,-1.6,0.6,-300,-295,-20,1
-1000,-51,-18,0.6,-1.7,0.3,-298,-300,-28,1
-1000,-53,-22,0.3,-2.0,0.0,-303,-298,-20,1
-999,-55,-21,0.7,-2.1,0.0,-301,-293,-21,1
-998,-53,-20,0.9,-1.9,0.2,-301,-303,-14,1
-998,-55,-19,0.3,-1.6,0.0,-297,-307,-21,1
-1001,-55,-22,0.7,-1.7,0.4,-300,-306,-5,1
-1001,-53,-22,1.0,-2.1,0.2,-306,-303,-2,1
-999,-55,-22,0.6,-2.0,0.2,-296,-302,-10,1
-1002,-56,-19,1.0,-1.9,0.4,-292,-296,-10,1
-999,-52,-22,1.4,-2.0,0.4,-297,-306,-15,1
-999,-55,-21,1.1,-2.0,0.4,-300,-306,-23,1
-1001,-56,-22,1.3,-2.2,0.2,-295,-298,-9,1
-999,-49,-18,1.1,-2.1,0.4,-297,-301,-15,1
-996,-56,-20,0.9,-2.2,0.4,-298,-302,-11,1
-1001,-59,-22,1.0,-2.3,0.1,-294,-305,-15,1
-1000,-53,-20,1.0,-2.1,0.4,-300,-308,-9,1
-997,-58,-18,0.9,-2.1,0.4,-302,-302,-14,1
-998,-59,-21,0.9,-2.1,0.3,-301,-302,-15,1
-998,-59,-18,1.5,-2.1,0.3,-301,-307,-7,1
-998,-57,-20,1.3,-2.1,0.4,-298,-300,-6,1
-998,-60,-18,0.9,-1.8,0.4,-303,-303,-20,1
-999,-55,-18,1.1,-1.9,0.4,-297,-308,-18,1
-999,-56,-17,1.3,-2.0,0.5,-296,-304,-18,1
-999,-58,-22,1.0,-2.4,0.0,-295,-305,-23,1
-1002,-54,-22,1.4,-2.1,0.2,-294,-302,-16,1
-1001,-54,-17,1.1,-2.2,0.1,-290,-306,-18,1
-998,-57,-16,0.7,-1.9,0.1,-294,-304,-6,1
-998,-58,-20,1.0,-1.9,0.2,-302,-304,-12,1
-998,-62,-15,0.7,-1.8,0.3,-296,-304,-14,1
-1000,-58,-22,0.7,-1.9,0.2,-291,-306,-23,1
-1000,-49,-17,1.2,-2.0,0.2,-298,-302,-25,1
-996,-61,-18,1.1,-2.0,0.3,-304,-306,-11,1
-1000,-56,-18,0.8,-1.8,0.2,-300,-306,-29,1
-1001,-61,-17,1.3,-1.8,0.7,-299,-309,-26,1
-999,-57,-16,0.7,-1.6,0.7,-295,-306,-13,1
-999,-58,-19,1.5,-1.8,0.8,-294,-300,-10,1
-999,-53,-17,1.1,-1.8,0.4,-302,-302,-24,1
-999,-61,-18,0.6,-2.0,0.2,-301,-302,-20,1
-1003,-54,-16,1.2,-2.1,0.3,-294,-297,0,1
-999,-57,-20,1.1,-2.1,0.4,-299,-303,-25,1
-997,-53,-15,1.0,-2.0,0.4,-301,-298,-19,1
-999,-60,-22,1.1,-2.0,0.4,-305,-302,-22,1
-1001,-59,-17,1.1,-1.8,0.4,-303,-295,-14,1
-999,-59,-19,1.2,-1.8,0.5,-296,-304,-20,1
-1001,-58,-17,1.3,-1.7,0.6,-296,-294,-24,1
-999,-58,-16,1.4,-1.8,0.6,-289,-296,-21,1
-1000,-53,-19,1.2,-1.6,0.7,-298,-296,-13,1
-1000,-58,-19,0.7,-1.8,0.3,-300,-304,-14,1
-1001,-59,-20,1.1,-2.0,0.3,-304,-296,-7,1
-1001,-55,-20,1.3,-2.0,0.5,-303,-294,-8,1
-1000,-57,-21,0.9,-2.1,0.3,-299,-301,-28,1
-1000,-55,-19,1.5,-2.3,0.3,-300,-305,-22,1
-1000,-52,-19,1.0,-1.9,0.4,-301,-300,-18,1
-999,-62,-19,0.9,-1.8,0.5,-306,-301,-14,1
-999,-56,-18,1.2,-1.8,0.5,-301,-305,-15,1
-997,-57,-18,1.1,-1.8,0.6,-296,-304,-13,1
-1000,-61,-19,1.4,-1.8,0.5,-308,-306,-8,1
-1000,-52,-18,1.0,-1.8,0.4,-300,-298,-11,1
-998,-63,-21,0.9,-1.7,0.5,-298,-308,-12,1
-1002,-56,-20,0.9,-1.8,0.5,-303,-305,-30,1
-999,-57,-19,0.9,-1.9,0.4,-299,-300,-21,1
-1000,-59,-20,1.0,-2.0,0.4,-306,-300,-19,1
-999,-60,-21,0.9,-2.1,0.1,-296,-294,-25,1
-1000,-52,-17,0.7,-1.8,0.3,-303,-311,-14,1
-998,-62,-19,1.5,-1.5,1.0,-299,-304,-14,1
-1000,-58,-19,1.1,-1.6,0.8,-296,-310,-16,1
-1000,-55,-18,1.3,-1.9,0.7,-302,-301,-15,1
-999,-63,-25,0.7,-2.1,0.1,-294,-305,-26,1
-1000,-51,-18,1.1,-2.1,0.1,-308,-306,-13,1
-997,-54,-20,0.9,-2.0,0.3,-303,-296,-16,1
-1000,-62,-20,1.4,-1.8,0.6,-294,-304,-15,1
-998,-57,-19,1.0,-2.1,0.2,-296,-304,-15,1
-1001,-55,-19,1.0,-2.0,0.3,-296,-304,-18,1
-1000,-60,-19,1.3,-2.1,0.2,-295,-303,-21,1
-1000,-51,-16,1.2,-1.9,0.2,-297,-306,-18,1
-996,-60,-19,1.1,-1.9,0.4,-301,-296,-14,1
-998,-61,-20,1.0,-2.0,0.2,-297,-304,-18,1
-998,-54,-17,1.1,-1.8,0.2,-301,-306,-26,1
-999,-52,-17,1.4,-2.0,0.2,-306,-300,-21,1
-1000,-56,-21,1.1,-1.9,0.3,-303,-306,-34,1
-998,-61,-16,0.9,-1.6,0.4,-296,-298,-38,1
-998,-56,-19,1.3,-1.9,0.5,-297,-300,-23,1
-998,-58,-15,1.3,-1.8,0.5,-295,-301,-22,1
-1002,-57,-22,1.1,-1.5,0.6,-303,-304,-21,1
-1000,-63,-17,0.7,-1.4,0.6,-301,-303,-22,1
-999,-54,-18,1.2,-1.6,0.4,-295,-308,-28,1
-999,-56,-20,1.5,-1.6,0.7,-304,-303,-29,1
